Age,Annual Income,Home Ownership,Employment Length (Years),Loan Purpose,Loan Grade,Loan Amount,Interest Rate (%),Loan to Income Ratio,Previous Default History,Credit History Length (Years),Debt to Income Ratio,Credit Utilization Ratio,Number of Open Credit Accounts,Number of Late Payments,"Loan Status (0=Approved, 1=Default)"
36,76733,OWN,7,HOMEIMPROVEMENT,A,39015,11.92,0.51,N,10,0.34,0.36,13,8,0
57,84324,MORTGAGE,37,HOMEIMPROVEMENT,A,5648,9.96,0.07,N,14,0.33,0.41,2,6,0
24,120003,MORTGAGE,5,VENTURE,E,30171,7.87,0.25,N,5,0.24,0.74,7,3,0
46,61150,OWN,12,PERSONAL,C,25355,17.32,0.41,N,9,0.25,0.61,6,10,1
39,135087,OWN,3,VENTURE,C,27098,9.56,0.2,N,1,0.58,0.72,4,0,0
27,133286,RENT,7,HOMEIMPROVEMENT,E,35621,13.96,0.27,N,8,0.08,0.84,8,5,0
33,69635,RENT,14,VENTURE,B,48487,19.3,0.7,N,13,0.2,0.94,10,7,1
24,96864,OWN,5,PERSONAL,D,10458,9.16,0.11,Y,1,0.54,0.58,9,9,1
22,107399,RENT,0,PERSONAL,B,21710,11.38,0.2,N,1,0.2,0.53,8,7,0
31,132529,MORTGAGE,9,MEDICAL,A,25605,9.44,0.19,N,7,0.56,0.21,9,10,0
51,69500,RENT,4,HOMEIMPROVEMENT,D,20800,6.4,0.3,N,31,0.17,0.84,7,5,0
22,54094,OWN,1,VENTURE,C,37126,14.02,0.69,N,1,0.52,0.19,5,10,1
36,148886,OWN,0,MEDICAL,D,7647,13.48,0.05,N,3,0.31,0.43,10,8,1
49,55340,RENT,3,VENTURE,D,6033,17.77,0.11,N,29,0.21,0.85,14,8,1
35,81134,OWN,6,HOMEIMPROVEMENT,A,34301,12.14,0.42,Y,2,0.09,0.73,8,6,1
60,81035,OWN,18,EDUCATION,A,45363,20.12,0.56,N,12,0.42,0.35,10,6,1
46,59567,OWN,5,HOMEIMPROVEMENT,D,14675,11.02,0.25,N,15,0.07,0.6,13,3,0
42,42299,RENT,1,VENTURE,A,3693,13.3,0.09,Y,12,0.15,0.86,11,9,1
24,85149,RENT,2,MEDICAL,B,20476,21.45,0.24,N,1,0.06,0.3,1,3,0
33,104600,RENT,9,VENTURE,C,46779,9.77,0.45,Y,14,0.49,0.71,13,7,1
50,81607,OWN,25,HOMEIMPROVEMENT,B,19122,9.84,0.23,N,18,0.54,0.57,13,0,0
43,23317,OWN,20,PERSONAL,D,12347,6.87,0.53,N,16,0.33,0.35,2,4,0
34,33510,OWN,6,VENTURE,C,23152,7.44,0.69,Y,1,0.49,0.62,10,9,1
23,94069,MORTGAGE,1,EDUCATION,D,20201,11.81,0.21,N,3,0.45,0.5,8,5,1
23,27851,OWN,0,PERSONAL,C,8156,7.5,0.29,N,1,0.07,0.84,2,7,1
46,71481,OWN,3,PERSONAL,D,18578,17.33,0.26,N,11,0.09,0.23,14,0,0
22,94292,RENT,2,EDUCATION,E,47326,19.99,0.5,N,2,0.19,0.73,11,7,1
37,39116,OWN,0,HOMEIMPROVEMENT,B,4499,14.65,0.12,N,5,0.16,0.72,5,8,0
53,58506,MORTGAGE,22,HOMEIMPROVEMENT,A,23368,13.81,0.4,N,30,0.55,0.7,1,9,0
49,95932,OWN,10,PERSONAL,C,24411,19.44,0.25,Y,15,0.42,0.66,11,2,1
51,99056,MORTGAGE,21,PERSONAL,D,31444,7.97,0.32,N,29,0.21,0.3,2,0,0
49,98629,RENT,28,HOMEIMPROVEMENT,C,36556,8.66,0.37,Y,29,0.1,0.68,3,4,0
48,22745,RENT,11,EDUCATION,A,4866,15.21,0.21,N,10,0.47,0.79,2,4,0
48,58623,OWN,19,EDUCATION,E,24733,9.46,0.42,N,5,0.16,0.75,8,10,1
28,91831,MORTGAGE,0,PERSONAL,B,36993,10.09,0.4,N,4,0.2,0.8,12,6,0
38,68895,OWN,9,VENTURE,D,6656,15.2,0.1,N,1,0.56,0.51,14,5,1
23,73871,MORTGAGE,0,EDUCATION,C,13186,13.61,0.18,N,2,0.27,0.65,7,11,0
51,46425,OWN,17,PERSONAL,C,27013,13.71,0.58,N,29,0.16,0.13,3,2,0
29,77353,OWN,1,MEDICAL,A,7105,7.63,0.09,Y,9,0.23,0.24,6,1,0
35,49072,RENT,3,MEDICAL,E,44989,10.95,0.92,Y,7,0.15,0.46,8,0,1
23,21591,MORTGAGE,1,PERSONAL,C,7183,15.05,0.33,Y,1,0.45,0.54,8,11,1
23,37693,MORTGAGE,1,HOMEIMPROVEMENT,E,29988,17.59,0.8,N,2,0.08,0.1,13,9,1
40,20203,MORTGAGE,0,EDUCATION,A,16899,9.48,0.84,N,5,0.19,0.13,5,2,0
31,145204,MORTGAGE,11,PERSONAL,B,37484,6.87,0.26,N,11,0.43,0.65,10,5,0
40,121448,MORTGAGE,6,VENTURE,C,47851,12.82,0.39,Y,19,0.45,0.63,13,11,1
21,127620,MORTGAGE,1,MEDICAL,A,36628,17.87,0.29,N,1,0.3,0.8,10,5,0
36,80726,OWN,10,HOMEIMPROVEMENT,D,17532,19.91,0.22,Y,6,0.33,0.59,6,8,1
30,120721,RENT,4,MEDICAL,C,14463,16.13,0.12,N,8,0.25,0.45,13,1,0
61,141323,OWN,35,MEDICAL,B,23485,17.0,0.17,N,8,0.23,0.74,9,7,0
48,38452,OWN,17,HOMEIMPROVEMENT,C,32174,17.53,0.84,N,15,0.43,0.19,5,0,1
35,149203,OWN,11,HOMEIMPROVEMENT,A,38538,20.54,0.26,N,11,0.51,0.19,1,3,0
61,125737,MORTGAGE,9,VENTURE,B,4567,21.51,0.04,N,28,0.45,0.88,2,10,1
60,83372,RENT,28,PERSONAL,C,18913,10.11,0.23,Y,12,0.07,0.37,8,0,0
26,117808,MORTGAGE,2,HOMEIMPROVEMENT,B,38529,21.7,0.33,Y,4,0.47,0.52,7,9,1
53,116826,OWN,12,HOMEIMPROVEMENT,C,34130,9.82,0.29,N,27,0.46,0.23,11,9,0
21,69589,OWN,2,MEDICAL,C,11740,12.42,0.17,Y,1,0.26,0.45,7,6,1
23,29852,RENT,3,HOMEIMPROVEMENT,A,8631,12.62,0.29,N,1,0.44,0.91,3,5,0
60,98931,RENT,32,HOMEIMPROVEMENT,C,17715,7.28,0.18,N,15,0.46,0.45,13,8,0
55,41352,RENT,29,MEDICAL,B,15397,13.94,0.37,N,25,0.23,0.86,1,3,0
33,41097,MORTGAGE,4,HOMEIMPROVEMENT,C,23692,18.16,0.58,N,4,0.35,0.72,4,1,0
26,137743,MORTGAGE,0,PERSONAL,C,34737,16.59,0.25,Y,2,0.43,0.66,6,11,1
56,82752,OWN,29,HOMEIMPROVEMENT,B,38220,12.38,0.46,N,10,0.57,0.85,4,9,1
59,104627,OWN,23,PERSONAL,A,32932,7.2,0.31,N,27,0.17,0.48,5,10,0
61,69976,OWN,5,MEDICAL,C,35148,17.57,0.5,N,40,0.17,0.36,13,3,0
61,110283,OWN,30,EDUCATION,E,17363,18.58,0.16,N,32,0.32,0.82,10,9,1
26,121520,OWN,2,PERSONAL,B,27616,12.38,0.23,N,3,0.41,0.38,8,11,0
53,75284,OWN,19,PERSONAL,C,36547,10.34,0.49,N,13,0.55,0.8,2,2,0
58,85214,OWN,0,MEDICAL,D,45870,14.07,0.54,N,39,0.35,0.29,11,6,1
40,31825,MORTGAGE,3,HOMEIMPROVEMENT,D,5187,7.49,0.16,N,5,0.47,0.82,3,7,1
25,109363,RENT,1,HOMEIMPROVEMENT,B,38502,20.82,0.35,N,6,0.14,0.23,14,5,0
57,92258,RENT,32,EDUCATION,A,21059,9.81,0.23,Y,34,0.49,0.94,8,10,1
46,115836,MORTGAGE,4,HOMEIMPROVEMENT,C,46724,7.67,0.4,N,6,0.4,0.57,2,11,0
33,137399,RENT,5,VENTURE,B,30377,14.44,0.22,N,14,0.53,0.74,3,10,0
25,101008,RENT,5,MEDICAL,A,5959,14.17,0.06,Y,3,0.38,0.91,1,11,1
38,83763,MORTGAGE,18,EDUCATION,A,29605,9.63,0.35,N,8,0.22,0.4,12,8,0
37,38030,RENT,3,HOMEIMPROVEMENT,A,4909,20.29,0.13,Y,4,0.57,0.71,9,9,1
25,112510,MORTGAGE,4,VENTURE,D,33283,14.91,0.3,N,1,0.2,0.8,8,1,0
24,64757,MORTGAGE,1,VENTURE,E,12939,21.41,0.2,N,4,0.42,0.56,4,6,1
22,83037,OWN,2,PERSONAL,B,7548,6.31,0.09,N,3,0.37,0.68,8,6,0
23,28894,RENT,2,HOMEIMPROVEMENT,C,17406,17.02,0.6,N,3,0.37,0.85,5,7,1
44,29432,RENT,13,HOMEIMPROVEMENT,C,1178,10.0,0.04,N,17,0.45,0.26,4,10,0
29,118934,MORTGAGE,4,MEDICAL,C,27423,21.86,0.23,N,2,0.4,0.58,6,8,0
36,59986,RENT,15,VENTURE,B,27058,11.56,0.45,N,1,0.21,0.7,9,11,0
26,129037,RENT,4,VENTURE,B,4360,8.99,0.03,N,1,0.35,0.54,8,6,0
23,39539,MORTGAGE,2,PERSONAL,B,12777,14.48,0.32,N,3,0.34,0.22,1,8,0
38,26941,RENT,14,EDUCATION,A,24386,7.46,0.91,N,2,0.24,0.54,8,11,0
21,127954,MORTGAGE,1,VENTURE,A,6255,9.75,0.05,N,1,0.23,0.83,4,3,0
35,126718,MORTGAGE,7,EDUCATION,A,18952,19.28,0.15,N,12,0.39,0.26,14,10,0
29,82423,MORTGAGE,3,MEDICAL,C,12255,11.78,0.15,N,10,0.16,0.16,11,6,0
50,97608,OWN,2,MEDICAL,C,37053,18.41,0.38,N,20,0.51,0.17,7,3,0
45,116134,OWN,9,PERSONAL,B,28228,9.22,0.24,Y,1,0.59,0.81,9,11,1
48,129968,RENT,27,MEDICAL,D,24464,8.92,0.19,N,26,0.05,0.52,9,5,0
26,99674,RENT,4,MEDICAL,A,3169,7.86,0.03,Y,2,0.26,0.5,6,3,0
42,92918,OWN,11,MEDICAL,E,1801,21.6,0.02,Y,22,0.17,0.79,2,9,1
26,40080,RENT,0,PERSONAL,A,39014,16.75,0.97,N,6,0.13,0.48,1,0,1
23,99003,OWN,2,MEDICAL,B,1205,12.41,0.01,N,3,0.3,0.54,1,2,0
43,78973,RENT,2,HOMEIMPROVEMENT,B,30692,20.13,0.39,N,17,0.33,0.89,14,11,1
21,114825,MORTGAGE,0,PERSONAL,A,33019,20.21,0.29,N,1,0.52,0.24,11,7,1
63,28176,OWN,22,PERSONAL,B,13941,8.63,0.49,Y,23,0.25,0.19,13,3,1
22,107911,RENT,3,MEDICAL,C,43026,10.02,0.4,N,2,0.09,0.72,1,1,0
35,24830,RENT,8,VENTURE,B,10834,6.19,0.44,N,9,0.48,0.78,9,6,1
64,78046,MORTGAGE,36,EDUCATION,B,17488,6.86,0.22,Y,12,0.3,0.43,10,2,0
63,34648,RENT,8,VENTURE,E,15110,16.7,0.44,N,13,0.48,0.66,5,3,1
23,36459,MORTGAGE,3,PERSONAL,E,6057,9.21,0.17,N,2,0.58,0.23,5,10,1
44,130195,RENT,22,HOMEIMPROVEMENT,B,39737,12.52,0.31,N,14,0.23,0.16,11,1,0
42,145261,MORTGAGE,16,MEDICAL,B,40802,11.89,0.28,N,16,0.36,0.84,12,6,0
55,52322,OWN,33,EDUCATION,E,17160,13.4,0.33,N,19,0.21,0.12,9,1,0
64,25571,RENT,35,HOMEIMPROVEMENT,B,17209,20.27,0.67,N,13,0.28,0.42,8,11,1
55,43901,RENT,5,PERSONAL,B,38006,18.9,0.87,N,20,0.49,0.27,2,2,1
38,40044,RENT,12,EDUCATION,C,22975,16.61,0.57,N,12,0.51,0.58,6,11,1
44,70390,RENT,1,EDUCATION,A,2906,12.53,0.04,Y,3,0.41,0.73,1,4,1
37,34319,OWN,17,PERSONAL,A,21449,9.52,0.62,Y,17,0.37,0.41,13,1,1
41,43696,RENT,8,PERSONAL,A,8666,21.35,0.2,Y,5,0.5,0.8,4,0,1
34,111865,OWN,12,HOMEIMPROVEMENT,A,17282,6.63,0.15,N,9,0.31,0.68,8,10,0
58,107086,RENT,29,PERSONAL,A,36755,19.86,0.34,N,27,0.17,0.58,4,10,0
21,98763,RENT,2,MEDICAL,E,7298,6.78,0.07,N,1,0.18,0.82,7,1,0
35,93042,RENT,7,VENTURE,A,13996,18.42,0.15,Y,7,0.52,0.67,10,4,1
25,42412,OWN,6,PERSONAL,B,36517,19.09,0.86,N,3,0.2,0.21,11,5,0
46,107579,RENT,8,PERSONAL,A,3124,17.88,0.03,N,9,0.26,0.23,5,9,0
44,144086,MORTGAGE,22,EDUCATION,D,49971,17.1,0.35,N,10,0.38,0.42,11,5,0
45,62351,MORTGAGE,11,PERSONAL,B,32369,12.44,0.52,Y,9,0.52,0.52,12,2,1
34,56527,MORTGAGE,5,PERSONAL,C,26936,6.76,0.48,N,13,0.58,0.82,2,1,1
27,64149,RENT,8,EDUCATION,C,11940,12.49,0.19,Y,6,0.43,0.93,12,0,1
61,145933,RENT,15,HOMEIMPROVEMENT,C,19615,10.05,0.13,N,25,0.36,0.38,9,6,0
58,121276,RENT,12,EDUCATION,E,19429,14.66,0.16,N,28,0.5,0.57,7,7,1
36,73517,RENT,14,EDUCATION,C,22686,11.41,0.31,Y,8,0.32,0.23,3,6,1
64,126279,RENT,36,VENTURE,A,13621,16.85,0.11,N,20,0.33,0.51,12,9,0
29,51533,RENT,6,MEDICAL,C,42901,18.97,0.83,N,1,0.17,0.11,6,9,1
45,146350,OWN,3,VENTURE,A,38687,8.96,0.26,N,2,0.15,0.82,12,6,0
34,47331,RENT,9,PERSONAL,A,14934,20.9,0.32,N,1,0.43,0.61,6,10,1
38,91675,RENT,8,EDUCATION,D,19800,7.41,0.22,N,15,0.13,0.13,6,3,0
45,144604,OWN,0,EDUCATION,D,26469,13.67,0.18,N,1,0.48,0.21,4,7,1
62,67969,MORTGAGE,6,VENTURE,A,9734,9.39,0.14,N,19,0.32,0.77,8,9,0
56,116805,OWN,15,EDUCATION,A,26651,18.84,0.23,N,23,0.26,0.18,13,10,0
42,89855,MORTGAGE,15,PERSONAL,C,40876,19.24,0.45,N,13,0.24,0.78,11,5,0
35,62738,RENT,0,VENTURE,A,1981,13.11,0.03,N,3,0.11,0.57,10,9,0
47,20947,MORTGAGE,21,HOMEIMPROVEMENT,A,16844,21.65,0.8,N,3,0.3,0.93,13,1,1
39,98229,MORTGAGE,12,PERSONAL,B,1541,21.71,0.02,N,4,0.33,0.47,4,6,0
44,41199,RENT,24,PERSONAL,B,26868,18.26,0.65,N,22,0.22,0.92,4,10,1
30,49140,OWN,3,HOMEIMPROVEMENT,B,10327,8.97,0.21,N,10,0.29,0.66,6,1,0
35,147015,RENT,4,EDUCATION,B,16585,12.54,0.11,N,15,0.05,0.69,10,1,0
51,35764,MORTGAGE,1,HOMEIMPROVEMENT,E,29949,15.4,0.84,N,32,0.09,0.33,3,6,1
31,113740,RENT,6,PERSONAL,E,14890,18.81,0.13,N,6,0.06,0.47,2,2,0
53,133135,MORTGAGE,18,MEDICAL,B,36476,17.52,0.27,N,9,0.12,0.55,9,7,0
62,35358,RENT,1,VENTURE,A,30378,15.44,0.86,Y,12,0.51,0.39,14,8,1
43,133288,OWN,15,HOMEIMPROVEMENT,C,41373,10.3,0.31,Y,8,0.45,0.13,7,4,1
48,75872,MORTGAGE,16,VENTURE,C,14662,11.71,0.19,N,5,0.51,0.14,6,6,0
30,61298,MORTGAGE,1,PERSONAL,D,36420,20.24,0.59,Y,2,0.08,0.24,11,4,1
43,125899,OWN,5,EDUCATION,C,13115,8.01,0.1,Y,13,0.13,0.9,12,6,1
32,83932,MORTGAGE,8,PERSONAL,B,25466,7.46,0.3,Y,7,0.58,0.68,4,2,1
34,29395,RENT,8,PERSONAL,A,13067,20.2,0.44,N,6,0.13,0.26,12,11,1
47,75841,OWN,18,VENTURE,B,3176,6.72,0.04,Y,7,0.25,0.43,5,2,0
29,34656,RENT,2,EDUCATION,C,11220,13.84,0.32,N,10,0.35,0.22,4,5,0
46,145354,OWN,9,VENTURE,D,29625,15.89,0.2,N,8,0.53,0.75,11,7,1
25,34718,RENT,5,MEDICAL,B,33815,17.9,0.97,N,3,0.4,0.36,2,3,0
42,46553,OWN,3,HOMEIMPROVEMENT,C,45331,7.3,0.97,N,10,0.29,0.53,4,2,0
41,91289,OWN,5,VENTURE,A,15175,19.3,0.17,N,11,0.1,0.25,14,8,0
36,113410,OWN,17,HOMEIMPROVEMENT,B,23044,18.14,0.2,N,14,0.37,0.17,5,0,0
27,114870,OWN,5,PERSONAL,A,21714,10.31,0.19,N,4,0.07,0.24,13,4,0
47,59159,MORTGAGE,21,HOMEIMPROVEMENT,E,19790,6.13,0.33,Y,27,0.35,0.21,7,2,1
51,80784,MORTGAGE,32,MEDICAL,B,22703,17.88,0.28,N,1,0.59,0.87,8,2,1
45,140259,MORTGAGE,8,PERSONAL,A,17442,8.95,0.12,N,6,0.34,0.29,5,2,0
61,24131,OWN,28,VENTURE,D,22507,19.12,0.93,N,42,0.39,0.78,13,1,1
51,73619,RENT,8,PERSONAL,C,23791,12.63,0.32,Y,19,0.42,0.71,6,2,1
50,115971,MORTGAGE,20,EDUCATION,D,8099,8.12,0.07,Y,10,0.58,0.66,3,11,1
35,33313,MORTGAGE,13,VENTURE,A,16167,6.36,0.49,Y,4,0.34,0.34,6,10,1
32,133569,OWN,0,EDUCATION,A,24599,11.93,0.18,N,8,0.42,0.6,6,10,1
28,20432,MORTGAGE,7,MEDICAL,A,15912,11.46,0.78,N,8,0.09,0.19,9,0,0
22,49873,MORTGAGE,0,MEDICAL,A,6932,18.61,0.14,N,1,0.33,0.3,5,11,1
28,45832,OWN,0,HOMEIMPROVEMENT,C,21706,12.7,0.47,N,8,0.07,0.92,8,2,1
29,78051,OWN,2,HOMEIMPROVEMENT,A,22551,14.68,0.29,N,5,0.57,0.85,2,11,1
33,110570,MORTGAGE,12,PERSONAL,C,13751,20.41,0.12,N,2,0.34,0.35,14,9,0
60,42912,RENT,3,EDUCATION,A,42757,16.64,1.0,N,35,0.4,0.65,11,6,1
25,127106,RENT,2,EDUCATION,B,30680,12.03,0.24,N,1,0.2,0.44,3,11,0
45,64297,RENT,9,EDUCATION,B,30665,10.31,0.48,N,22,0.25,0.12,9,4,0
43,136254,MORTGAGE,3,VENTURE,B,42936,14.12,0.32,Y,3,0.11,0.77,4,0,0
22,83456,RENT,1,PERSONAL,B,1786,15.1,0.02,Y,1,0.29,0.37,3,10,1
22,96312,MORTGAGE,0,MEDICAL,A,15196,15.92,0.16,N,3,0.4,0.26,6,2,0
39,95419,OWN,9,VENTURE,A,11707,15.35,0.12,N,14,0.38,0.57,11,6,0
42,40183,RENT,10,PERSONAL,A,2132,9.15,0.05,N,21,0.35,0.17,4,4,0
64,100765,RENT,1,VENTURE,A,9502,13.39,0.09,Y,34,0.06,0.84,13,1,1
57,133632,RENT,7,VENTURE,A,20508,10.34,0.15,Y,5,0.3,0.82,4,2,1
38,65076,OWN,18,VENTURE,A,29931,10.39,0.46,N,13,0.21,0.37,3,0,0
53,38205,RENT,11,HOMEIMPROVEMENT,B,23030,19.93,0.6,N,28,0.12,0.82,1,6,1
21,89306,MORTGAGE,2,VENTURE,A,48217,19.95,0.54,N,1,0.08,0.14,6,5,0
55,92354,MORTGAGE,21,VENTURE,A,6028,17.29,0.07,Y,11,0.4,0.23,5,7,1
32,87787,OWN,4,PERSONAL,D,24674,19.49,0.28,Y,9,0.48,0.66,4,9,1
59,126073,MORTGAGE,25,EDUCATION,C,9384,9.72,0.07,Y,15,0.35,0.35,12,9,1
34,136859,RENT,10,PERSONAL,C,49998,15.15,0.37,Y,5,0.15,0.41,2,2,0
39,49605,OWN,1,HOMEIMPROVEMENT,B,6580,13.94,0.13,N,11,0.45,0.57,1,7,1
32,68688,OWN,8,PERSONAL,C,24545,18.53,0.36,Y,2,0.2,0.7,7,7,1
48,41566,RENT,28,MEDICAL,A,21806,15.53,0.52,Y,13,0.27,0.46,8,2,1
55,131603,RENT,10,EDUCATION,B,5594,12.5,0.04,N,30,0.22,0.66,3,5,0
49,45236,OWN,10,HOMEIMPROVEMENT,A,9495,15.85,0.21,N,18,0.59,0.84,12,6,1
40,138209,RENT,3,VENTURE,A,21901,6.25,0.16,Y,18,0.22,0.23,14,0,0
27,24011,MORTGAGE,4,VENTURE,B,20782,14.06,0.87,N,2,0.26,0.43,14,6,0
41,118538,RENT,12,EDUCATION,D,30796,21.46,0.26,N,12,0.12,0.67,9,8,1
61,70859,RENT,3,VENTURE,A,27563,6.0,0.39,N,9,0.11,0.31,4,0,0
40,75771,OWN,7,VENTURE,A,14116,19.16,0.19,N,7,0.46,0.6,14,8,1
52,95948,RENT,32,HOMEIMPROVEMENT,D,16817,13.8,0.18,Y,33,0.57,0.89,7,4,1
21,135440,RENT,1,PERSONAL,D,35160,19.9,0.26,N,2,0.3,0.71,11,8,1
35,90780,MORTGAGE,0,PERSONAL,B,35902,21.0,0.4,N,2,0.59,0.77,6,4,1
58,73351,RENT,19,EDUCATION,A,49354,11.96,0.67,Y,25,0.41,0.1,14,1,1
29,86786,OWN,6,VENTURE,B,38131,17.58,0.44,Y,2,0.29,0.67,6,9,1
63,24135,OWN,37,HOMEIMPROVEMENT,A,12168,15.57,0.5,N,8,0.54,0.66,11,4,1
24,126520,RENT,3,EDUCATION,B,8902,9.3,0.07,N,5,0.14,0.49,5,5,0
37,23747,MORTGAGE,14,HOMEIMPROVEMENT,A,14017,17.53,0.59,Y,13,0.48,0.38,1,5,1
46,123119,OWN,3,PERSONAL,C,3843,6.81,0.03,N,15,0.53,0.17,14,9,0
59,87975,OWN,31,PERSONAL,B,48594,13.13,0.55,N,20,0.11,0.83,13,9,1
47,62652,RENT,14,VENTURE,A,14467,14.63,0.23,N,16,0.1,0.71,2,0,0
30,106728,OWN,11,MEDICAL,C,19839,9.75,0.19,N,4,0.36,0.31,2,6,0
22,122674,MORTGAGE,1,VENTURE,D,20945,17.97,0.17,Y,1,0.08,0.76,6,3,1
48,79019,OWN,19,VENTURE,B,23576,9.05,0.3,N,3,0.31,0.29,12,1,0
33,53387,MORTGAGE,14,MEDICAL,B,4066,8.11,0.08,N,2,0.2,0.54,11,5,0
55,70901,OWN,26,EDUCATION,C,37160,9.0,0.52,Y,1,0.18,0.22,14,6,1
61,50005,RENT,33,EDUCATION,E,41708,7.65,0.83,N,23,0.45,0.76,11,0,1
33,108444,RENT,8,VENTURE,E,20971,16.39,0.19,N,13,0.45,0.83,10,6,1
52,140770,MORTGAGE,2,EDUCATION,E,19645,16.83,0.14,N,3,0.09,0.51,1,6,1
64,137797,RENT,18,HOMEIMPROVEMENT,C,7587,11.78,0.06,N,35,0.49,0.2,7,3,0
64,118725,OWN,36,EDUCATION,E,26785,13.08,0.23,N,31,0.5,0.8,2,3,0
49,113422,RENT,4,MEDICAL,D,29246,8.87,0.26,N,14,0.26,0.52,13,0,0
58,73014,MORTGAGE,25,MEDICAL,B,44890,13.46,0.61,N,2,0.11,0.84,5,1,0
36,85782,RENT,0,HOMEIMPROVEMENT,A,47110,6.72,0.55,N,6,0.07,0.5,12,4,0
45,44843,OWN,20,VENTURE,A,6912,14.09,0.15,N,9,0.13,0.89,9,2,0
55,66539,RENT,4,HOMEIMPROVEMENT,D,24016,18.74,0.36,N,35,0.4,0.61,6,7,1
